id,neighborhood,latitude,longitude,price,size_in_sqft,no_of_bedrooms,no_of_bathrooms,quality,furnished,balcony,barbecue_area,central_ac,childrens_play_area,concierge,covered_parking,pets_allowed,private_garden,private_gym,private_pool,security,shared_gym,view_of_landmark,view_of_water
5528049,Palm Jumeirah,25.113208,55.138932,2700000,1079,1.0,2,Medium,1,1,1,1,1,1,0,1.0,0,0,0,0,1.0,,1
6008529,Palm Jumeirah,25.106809,55.151201,2850000,1582,2.0,2,Medium,1,1,0,1,1,0,0,0.0,0,0,0,0,1.0,,1
6034542,Jumeirah Lake Towers,25.063302,55.137728,1150000,1951,3.0,5,Medium,0,1,0,0,0,0,1,0.0,0,0,0,1,1.0,1.0,1
6326063,Culture Village,25.227295,55.341761,2850000,2020,,3,Low,0,1,0,0,0,1,1,1.0,0,0,0,0,0.0,0.0,0
6356778,Palm Jumeirah,25.114275,55.139764,1729200,507,0.0,1,Medium,1,0,0,1,0,0,1,0.0,0,0,0,1,1.0,1.0,1
6356784,Palm Jumeirah,25.114275,55.139764,3119900,1015,1.0,2,Medium,1,0,0,1,0,0,1,0.0,0,0,0,1,1.0,1.0,1
6356790,Palm Jumeirah,25.114275,55.139764,8503600,2062,2.0,3,High,1,0,0,1,0,0,1,0.0,0,0,0,1,1.0,1.0,1
6356797,Palm Jumeirah,25.114275,55.139764,3119900,1015,1.0,2,Medium,1,0,0,1,0,0,1,0.0,0,0,0,1,1.0,1.0,1
6376886,Palm Jumeirah,25.106668,55.149275,2100000,2186,3.0,3,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
6406935,Downtown Dubai,25.194935,55.282665,2690000,1521,2.0,3,Medium,1,1,0,1,0,0,1,0.0,0,0,0,0,1.0,0.0,1
6473651,Downtown Dubai,25.198795999999998,55.271342000000004,3550000,1918,3.0,4,Low,0,1,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,1
6493425,Dubai Marina,25.07501700000001,55.137997,2094999,1058,2.0,3,Low,0,1,0,1,0,0,0,0.0,0,0,0,0,1.0,0.0,0
6493433,Dubai Marina,25.07501700000001,55.137997,1049999,609,1.0,2,Low,0,0,0,1,0,0,0,0.0,0,0,0,0,1.0,0.0,0
6493447,Palm Jumeirah,25.132519,55.151574,1849000,1071,1.0,1,Medium,0,1,1,1,0,1,0,0.0,0,0,0,0,1.0,0.0,1
6505084,Palm Jumeirah,25.132445,55.152216,2089999,1051,1.0,1,Medium,0,1,1,1,0,1,0,0.0,0,0,0,0,1.0,0.0,1
6526806,Palm Jumeirah,25.132020999999998,55.151405000000004,2349990,1109,1.0,1,Medium,1,1,1,1,0,1,0,0.0,0,0,0,0,1.0,0.0,1
6526808,Palm Jumeirah,25.132020999999998,55.151405000000004,3499000,1633,2.0,2,Medium,0,1,1,1,0,1,0,0.0,0,0,0,0,1.0,0.0,1
6530645,Downtown Dubai,25.198316000000002,55.270757999999994,2700000,1348,2.0,3,Medium,0,1,0,1,0,0,1,0.0,0,0,0,0,0.0,0.0,1
6562472,Downtown Dubai,25.197020000000002,55.271023,1490000,1167,2.0,2,Medium,1,1,1,1,0,0,0,0.0,0,0,0,0,1.0,0.0,0
6587672,Business Bay,25.180301,55.26389200000001,950000,894,1.0,2,Medium,0,1,0,1,0,0,1,0.0,0,0,1,1,1.0,1.0,1
6666254,Dubai Marina,25.072395999999998,55.132386,1100000,985,2.0,2,Medium,0,1,0,1,0,0,0,1.0,0,0,0,1,1.0,0.0,0
6715521,Dubai Marina,25.079783,55.13904599999999,1390000,1307,2.0,4,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
6728311,Downtown Dubai,25.197316,55.274195999999996,3999900,2323,3.0,4,Medium,0,0,0,1,1,1,1,0.0,0,0,0,0,1.0,0.0,1
6768809,Dubai Marina,25.08377,55.145075,3349000,3930,3.0,4,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
6786263,Palm Jumeirah,25.132020999999998,55.151405000000004,8470000,5232,3.0,3,Medium,0,1,1,1,0,1,0,0.0,0,0,0,0,1.0,0.0,1
6799796,Dubai Marina,25.084331,55.141679,2499000,2490,3.0,4,Medium,0,1,0,1,0,1,1,1.0,0,0,0,1,1.0,0.0,1
6810606,Downtown Dubai,25.194282,55.271884,2800000,1712,2.0,3,Medium,0,1,0,1,0,1,1,0.0,0,0,1,0,1.0,0.0,0
6814944,Dubai Marina,25.074958,55.138542,8500000,5079,4.0,4,Medium,1,1,1,0,1,1,1,0.0,0,0,0,0,1.0,0.0,1
6820539,Downtown Dubai,25.191719,55.270677,1875000,1543,2.0,3,Low,0,1,0,1,1,0,0,0.0,0,0,0,0,0.0,,0
6833412,Old Town,25.190044,55.277388,1275000,938,1.0,2,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
6840187,Al Kifaf,,55.294217,1465777,999,1.0,2,Medium,0,1,0,1,0,1,1,0.0,0,1,1,1,1.0,,0
6861509,Palm Jumeirah,25.106809,55.151201,1260000,1646,2.0,3,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
6874086,Meydan,25.158305,55.296535,1386795,1084,,3,Medium,0,1,0,1,1,0,1,0.0,0,0,0,0,1.0,0.0,0
6918062,Culture Village,25.227295,55.341761,4500000,3048,2.0,3,Medium,1,1,0,0,0,0,0,0.0,0,0,0,1,1.0,,0
6944434,Arjan,25.06031,55.24140300000001,750000,796,1.0,1,High,0,1,0,1,1,0,1,0.0,0,0,0,1,1.0,1.0,0
6944601,Arjan,25.06031,55.24140300000001,991000,1162,2.0,2,High,0,1,0,1,1,0,1,0.0,0,0,0,1,1.0,1.0,0
6947962,Jumeirah Beach Residence,25.07359,55.126352000000004,3599999,1966,3.0,3,Low,0,1,0,0,0,0,0,1.0,0,0,0,0,0.0,0.0,0
6954492,Dubai Marina,25.07501700000001,55.137997,2625000,1786,3.0,4,Low,0,1,0,0,0,0,0,0.0,0,0,0,0,1.0,0.0,0
6956778,Dubai Creek Harbour (The Lagoons),25.204631,55.343456999999994,1270000,900,1.0,2,Medium,0,1,0,1,0,0,1,0.0,0,0,0,0,1.0,0.0,0
6987144,Dubai Creek Harbour (The Lagoons),25.206345000000002,55.345142,1398000,1168,1.0,2,Low,0,1,0,0,0,0,0,1.0,0,0,0,0,0.0,0.0,0
6992975,Dubai Marina,25.074439,55.133386,1795000,1002,,2,Medium,1,1,0,1,0,0,1,0.0,0,0,0,0,1.0,0.0,1
6993708,Old Town,25.190275,55.278378000000004,1600000,1221,2.0,3,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
7015600,Palm Jumeirah,25.114333,55.13750600000001,1050000,549,0.0,1,Low,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,1
7017139,Greens,25.091487,55.172015,1150000,1133,2.0,2,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
7018490,City Walk,25.200221,55.264588,1800000,1191,1.0,2,Medium,0,1,0,1,0,0,1,0.0,0,0,0,0,1.0,0.0,0
7019863,Al Furjan,25.02985,55.151559999999996,1349999,1861,3.0,4,Medium,0,1,0,1,0,0,1,1.0,0,0,0,0,,0.0,0
7020315,Dubai Creek Harbour (The Lagoons),25.20573,55.34511,1800000,1582,2.0,3,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
7023909,Business Bay,25.185337,55.2763,2353146,1168,2.0,3,Medium,0,1,0,1,0,0,0,0.0,0,0,0,0,1.0,,1
7026636,Dubai Marina,25.089392999999998,55.147796,2800000,3172,4.0,5,Low,1,1,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0
7033393,DAMAC Hills,25.016735999999998,55.25101,365000,451,0.0,1,Medium,0,1,0,1,0,0,1,1.0,0,0,0,0,1.0,0.0,0
7047499,Palm Jumeirah,25.132519,55.151574,1980000,935,1.0,1,Medium,0,1,1,0,1,1,0,0.0,0,0,0,0,1.0,,1
7052024,Dubai Marina,25.086376,55.14736,2300000,775,1.0,2,Medium,1,1,0,1,0,0,1,1.0,0,0,0,0,1.0,0.0,1
7052085,Dubai Marina,25.086575,55.147768000000006,2200000,1277,2.0,3,Medium,1,1,0,1,0,0,1,1.0,0,0,0,0,1.0,0.0,1
7061799,Dubai Creek Harbour (The Lagoons),25.204631,55.343456999999994,1270000,981,1.0,2,Low,0,1,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0
7065369,Jumeirah Beach Residence,25.072954,55.128089,2650000,1703,2.0,2,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
7075159,Jumeirah Lake Towers,25.065735999999998,55.137452,375000,450,0.0,1,Medium,0,1,0,1,0,0,1,1.0,0,0,0,1,1.0,1.0,1
7080801,Jumeirah Golf Estates,25.029767,55.206417,1150000,1367,2.0,3,Low,0,1,0,0,1,0,0,1.0,0,0,0,0,0.0,0.0,0
7081717,Business Bay,25.183132999999998,55.25658000000001,2400000,1965,3.0,4,Medium,1,1,0,1,0,0,1,0.0,0,0,0,1,1.0,0.0,0
7081836,Business Bay,25.183132999999998,55.25658000000001,1700000,1358,2.0,3,Medium,1,1,0,0,0,1,1,0.0,0,0,0,1,1.0,0.0,1
7081881,Business Bay,25.183132999999998,55.25658000000001,1709847,1367,2.0,3,Medium,1,1,0,1,0,0,1,0.0,0,0,0,1,1.0,1.0,0
7082693,Jumeirah,25.215192000000002,55.235827,12000000,2631,3.0,5,Medium,0,1,0,1,0,0,1,,0,0,0,0,1.0,0.0,1
7082844,Dubai Hills Estate,25.109367000000002,55.24798000000001,1850000,1993,3.0,4,Medium,0,1,0,1,0,0,1,1.0,0,0,0,1,1.0,0.0,0
7091752,Umm Suqeim,25.137408999999998,55.188956999999995,2090000,1365,2.0,3,Low,0,1,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0
7091934,Meydan,25.145181,55.288017,1425000,1535,2.0,3,Low,0,1,0,1,0,0,1,0.0,0,0,0,0,1.0,0.0,0
7092201,Dubai Marina,25.070605,55.13323000000001,1595000,1350,2.0,2,Low,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0
7093948,Dubai Marina,25.086376,55.14736,975000,627,1.0,1,Medium,0,1,0,1,0,1,1,0.0,0,0,0,1,1.0,0.0,0
